ano,geocod,regiao,nivel,quartil,preco_m2
2022,1C31203,Avis,Concelho,1.º quartil,272.0
2022,1C31204,Campo Maior,Concelho,1.º quartil,244.0
2022,1C31205,Castelo de Vide,Concelho,1.º quartil,270.0
2022,1C31209,Gavião,Concelho,1.º quartil,152.0
2022,1C31206,Crato,Concelho,1.º quartil,200.0
2022,1C31207,Elvas,Concelho,1.º quartil,287.0
2022,1C31208,Fronteira,Concelho,1.º quartil,233.0
2022,1C31210,Marvão,Concelho,1.º quartil,247.0
2022,1C31211,Monforte,Concelho,1.º quartil,163.0
2022,1C40708,Mourão,Concelho,1.º quartil,385.0
2022,1C40709,Portel,Concelho,1.º quartil,273.0
2022,1D11102,Arruda dos Vinhos,Concelho,1.º quartil,937.0
2022,1D11104,Cadaval,Concelho,1.º quartil,471.0
2022,1D11108,Lourinhã,Concelho,1.º quartil,838.0
2022,1D11112,Sobral de Monte Agraço,Concelho,1.º quartil,604.0
2022,1D11113,Torres Vedras,Concelho,1.º quartil,933.0
2022,1D2,Médio Tejo,NUTS III,1.º quartil,444.0
2022,1D21401,Abrantes,Concelho,1.º quartil,310.0
2022,1D21402,Alcanena,Concelho,1.º quartil,309.0
2022,1D21408,Constância,Concelho,1.º quartil,388.0
2022,1D21410,Entroncamento,Concelho,1.º quartil,648.0
2022,1D21411,Ferreira do Zêzere,Concelho,1.º quartil,423.0
2022,1D21413,Mação,Concelho,1.º quartil,122.0
2022,1D21417,Sardoal,Concelho,1.º quartil,172.0
2022,1D21418,Tomar,Concelho,1.º quartil,460.0
2022,1D21419,Torres Novas,Concelho,1.º quartil,435.0
2022,1D21420,Vila Nova da Barquinha,Concelho,1.º quartil,525.0
2022,1D21421,Ourém,Concelho,1.º quartil,633.0
2022,1D31103,Azambuja,Concelho,1.º quartil,708.0
2022,1D31403,Almeirim,Concelho,1.º quartil,630.0
2022,1D31404,Alpiarça,Concelho,1.º quartil,437.0
2022,1D31405,Benavente,Concelho,1.º quartil,915.0
2022,1D31406,Cartaxo,Concelho,1.º quartil,635.0
2022,1D31407,Chamusca,Concelho,1.º quartil,248.0
2022,1D31409,Coruche,Concelho,1.º quartil,458.0
2022,1D31412,Golegã,Concelho,1.º quartil,486.0
2022,1D31416,Santarém,Concelho,1.º quartil,580.0
2022,1D31414,Rio Maior,Concelho,1.º quartil,505.0
2022,1D3,Lezíria do Tejo,NUTS III,1.º quartil,601.0
2022,1D31415,Salvaterra de Magos,Concelho,1.º quartil,776.0
2022,2,Região Autónoma dos Açores,NUTS I,1.º quartil,654.0
2022,20,Região Autónoma dos Açores,NUTS II,1.º quartil,654.0
2022,200,Região Autónoma dos Açores,NUTS III,1.º quartil,654.0
2022,2004101,Vila do Porto,Concelho,1.º quartil,715.0
2022,2004201,Lagoa (R.A.A.),Concelho,1.º quartil,890.0
2022,2004202,Nordeste,Concelho,1.º quartil,363.0
2022,2004203,Ponta Delgada,Concelho,1.º quartil,963.0
2022,2004204,Povoação,Concelho,1.º quartil,515.0
2022,1111607,Ponte de Lima,Concelho,1.º quartil,669.0
2022,11D1815,São João da Pesqueira,Concelho,1.º quartil,181.0
2022,1111608,Valença,Concelho,1.º quartil,543.0
2022,1111609,Viana do Castelo,Concelho,1.º quartil,956.0
2022,1190308,Guimarães,Concelho,1.º quartil,813.0
2022,11D1818,Sernancelhe,Concelho,1.º quartil,75.0
2022,11D1819,Tabuaço,Concelho,1.º quartil,158.0
2022,11D1820,Tarouca,Concelho,1.º quartil,432.0
2022,11E,Terras de Trás-os-Montes,NUTS III,1.º quartil,412.0
2022,11E0401,Alfândega da Fé,Concelho,1.º quartil,167.0
2022,11E0402,Bragança,Concelho,1.º quartil,576.0
2022,11E0405,Macedo de Cavaleiros,Concelho,1.º quartil,338.0
2022,11E0406,Miranda do Douro,Concelho,1.º quartil,218.0
2022,11E0407,Mirandela,Concelho,1.º quartil,459.0
2022,11E0408,Mogadouro,Concelho,1.º quartil,162.0
2022,11E0410,Vila Flor,Concelho,1.º quartil,196.0
2022,11E0411,Vimioso,Concelho,1.º quartil,
2022,11E0412,Vinhais,Concelho,1.º quartil,188.0
2022,15,Algarve,NUTS II,1.º quartil,1736.0
2022,150,Algarve,NUTS III,1.º quartil,1736.0
2022,1500801,Albufeira,Concelho,1.º quartil,1999.0
2022,1500802,Alcoutim,Concelho,1.º quartil,314.0
2022,1500803,Aljezur,Concelho,1.º quartil,1879.0
2022,1500804,Castro Marim,Concelho,1.º quartil,1360.0
2022,1500805,Faro,Concelho,1.º quartil,1717.0
2022,1500806,Lagoa,Concelho,1.º quartil,1788.0
2022,1500807,Lagos,Concelho,1.º quartil,2094.0
2022,1500808,Loulé,Concelho,1.º quartil,2090.0
2022,1500809,Monchique,Concelho,1.º quartil,605.0
2022,1500810,Olhão,Concelho,1.º quartil,1454.0
2022,1500811,Portimão,Concelho,1.º quartil,1732.0
2022,1500812,São Brás de Alportel,Concelho,1.º quartil,1279.0
2022,1500813,Silves,Concelho,1.º quartil,1374.0
2022,1500814,Tavira,Concelho,1.º quartil,1949.0
2022,1500815,Vila do Bispo,Concelho,1.º quartil,1556.0
2022,1500816,Vila Real de Santo António,Concelho,1.º quartil,1478.0
2022,19,Centro,NUTS II,1.º quartil,516.0
2022,1910103,Anadia,Concelho,1.º quartil,422.0
2022,191,Região de Aveiro,NUTS III,1.º quartil,779.0
2022,2004205,Ribeira Grande,Concelho,1.º quartil,660.0
2022,2004206,Vila Franca do Campo,Concelho,1.º quartil,668.0
2022,2004301,Angra do Heroísmo,Concelho,1.º quartil,640.0
2022,2004302,Vila da Praia da Vitória,Concelho,1.º quartil,508.0
2022,2004401,Santa Cruz da Graciosa,Concelho,1.º quartil,173.0
2022,2004501,Calheta (R.A.A.),Concelho,1.º quartil,
2022,2004502,Velas,Concelho,1.º quartil,348.0
2022,2004601,Lajes do Pico,Concelho,1.º quartil,380.0
2022,2004602,Madalena,Concelho,1.º quartil,393.0
2022,2004603,São Roque do Pico,Concelho,1.º quartil,495.0
2022,11D0914,Vila Nova de Foz Côa,Concelho,1.º quartil,153.0
2022,11D1704,Mesão Frio,Concelho,1.º quartil,250.0
2022,11D1707,Murça,Concelho,1.º quartil,201.0
2022,11D1701,Alijó,Concelho,1.º quartil,200.0
2022,11D1708,Peso da Régua,Concelho,1.º quartil,500.0
2022,11D1710,Sabrosa,Concelho,1.º quartil,250.0
2022,11B1706,Montalegre,Concelho,1.º quartil,333.0
2022,11B1709,Ribeira de Pena,Concelho,1.º quartil,200.0
2022,11B1712,Valpaços,Concelho,1.º quartil,200.0
2022,11B1713,Vila Pouca de Aguiar,Concelho,1.º quartil,393.0
2022,11C,Tâmega e Sousa,NUTS III,1.º quartil,526.0
2022,11C0106,Castelo de Paiva,Concelho,1.º quartil,425.0
2022,11C0305,Celorico de Basto,Concelho,1.º quartil,303.0
2022,11A0104,Arouca,Concelho,1.º quartil,339.0
2022,11A0113,Oliveira de Azeméis,Concelho,1.º quartil,625.0
2022,11A0116,São João da Madeira,Concelho,1.º quartil,804.0
2022,11A0119,Vale de Cambra,Concelho,1.º quartil,656.0
2022,11A1304,Gondomar,Concelho,1.º quartil,1189.0
2022,11A1306,Maia,Concelho,1.º quartil,1355.0
2022,11A1308,Matosinhos,Concelho,1.º quartil,1625.0
2022,11A1310,Paredes,Concelho,1.º quartil,712.0
2022,11A1312,Porto,Concelho,1.º quartil,1851.0
2022,11A1313,Póvoa de Varzim,Concelho,1.º quartil,1268.0
2022,11A1314,Santo Tirso,Concelho,1.º quartil,684.0
2022,11A1315,Valongo,Concelho,1.º quartil,1136.0
2022,11A1316,Vila do Conde,Concelho,1.º quartil,1216.0
2022,11A1317,Vila Nova de Gaia,Concelho,1.º quartil,1292.0
2022,11A1318,Trofa,Concelho,1.º quartil,883.0
2022,11B,Alto Tâmega e Barroso,NUTS III,1.º quartil,403.0
2022,11B1702,Boticas,Concelho,1.º quartil,321.0
2022,11B1703,Chaves,Concelho,1.º quartil,630.0
2022,1950502,Castelo Branco,Concelho,2.º quartil,731.0
2022,1950505,Idanha-a-Nova,Concelho,2.º quartil,312.0
2022,1950506,Oleiros,Concelho,2.º quartil,409.0
2022,1950507,Penamacor,Concelho,2.º quartil,261.0
2022,1950508,Proença-a-Nova,Concelho,2.º quartil,588.0
2022,1950509,Sertã,Concelho,2.º quartil,760.0
2022,1950510,Vila de Rei,Concelho,2.º quartil,439.0
2022,1950511,Vila Velha de Ródão,Concelho,2.º quartil,234.0
2022,196,Beiras e Serra da Estrela,NUTS III,2.º quartil,570.0
2022,1960501,Belmonte,Concelho,2.º quartil,501.0
2022,1960503,Covilhã,Concelho,2.º quartil,776.0
2022,1960504,Fundão,Concelho,2.º quartil,556.0
2022,1190311,Vieira do Minho,Concelho,2.º quartil,608.0
2022,1960902,Almeida,Concelho,2.º quartil,233.0
2022,1960903,Celorico da Beira,Concelho,2.º quartil,370.0
2022,1190309,Póvoa de Lanhoso,Concelho,2.º quartil,918.0
2022,1190312,Vila Nova de Famalicão,Concelho,2.º quartil,1136.0
2022,1190314,Vizela,Concelho,2.º quartil,969.0
2022,1191705,Mondim de Basto,Concelho,2.º quartil,593.0
2022,11A,Área Metropolitana do Porto,NUTS III,2.º quartil,1607.0
2022,11A0107,Espinho,Concelho,2.º quartil,1645.0
2022,11A0109,Santa Maria da Feira,Concelho,2.º quartil,1125.0
2022,11D0403,Carrazeda de Ansiães,Concelho,2.º quartil,361.0
2022,11D0404,Freixo de Espada à Cinta,Concelho,2.º quartil,
2022,11D0409,Torre de Moncorvo,Concelho,2.º quartil,358.0
